dataset,task,event_or_lock,n_trials,window_start_ms,window_stop_ms,baseline_start_ms,baseline_stop_ms,sensor_gfp_peak_ms,source_map,method,target_roi,target_roi_vertices,target_roi_mass_pct,target_roi_enrichment,peak_distance_to_target_roi_mm,peak_label,peak_hemi,roi_used_before_evaluation
MNE sample,视觉-右侧视野,event 1/2/3/4,67,80.0,150.0,-200.0,-10.0,91.57280603092777,"sqrt(max(mean(active^2)-mean(baseline^2),0))",dSPM,pericalcarine-lh+cuneus-lh+lateraloccipital-lh+lingual-lh,241,47.49127196184128,14.775500297505637,0.0,lingual-lh,left,False
MNE sample,视觉-右侧视野,event 1/2/3/4,67,80.0,150.0,-200.0,-10.0,91.57280603092777,"sqrt(max(mean(active^2)-mean(baseline^2),0))",eLORETA,pericalcarine-lh+cuneus-lh+lateraloccipital-lh+lingual-lh,241,58.01816705227171,18.050631392445364,0.0,lingual-lh,left,False
ds006035,右腕刺激-N20,event 32,40,18.0,24.0,-400.0,-50.0,23.903998832812558,"sqrt(max(mean(active^2)-mean(baseline^2),0))",OASTER ERP,postcentral-lh,127,0.0,0.0,61.79746822183929,superiorparietal-lh,left,False
ds006035,右腕刺激-N20,event 32,40,18.0,24.0,-400.0,-50.0,23.903998832812558,"sqrt(max(mean(active^2)-mean(baseline^2),0))",dSPM,postcentral-lh,127,12.288147899472484,4.5466147228048195,0.0,postcentral-lh,left,False
ds006035,右腕刺激-N20,event 32,40,18.0,24.0,-400.0,-50.0,23.903998832812558,"sqrt(max(mean(active^2)-mean(baseline^2),0))",eLORETA,postcentral-lh,127,12.057609592723015,4.461315549307515,0.0,postcentral-lh,left,False
ds006035,右腕刺激-P30,event 32,40,28.0,40.0,-400.0,-50.0,37.84799815195321,"sqrt(max(mean(active^2)-mean(baseline^2),0))",OASTER ERP,postcentral-lh,127,0.0,0.0,8.054066205377657,precentral-lh,left,False
ds006035,右腕刺激-P30,event 32,40,28.0,40.0,-400.0,-50.0,37.84799815195321,"sqrt(max(mean(active^2)-mean(baseline^2),0))",dSPM,postcentral-lh,127,17.20730376873785,6.366702394433005,5.799669848616894,precentral-lh,left,False
ds006035,右腕刺激-P30,event 32,40,28.0,40.0,-400.0,-50.0,37.84799815195321,"sqrt(max(mean(active^2)-mean(baseline^2),0))",eLORETA,postcentral-lh,127,18.720272759196458,6.926500920902689,5.799669848616894,precentral-lh,left,False
ds006035,左指反应-20到80ms,event 16,41,20.0,80.0,-550.0,-350.0,42.827997908789165,"sqrt(max(mean(active^2)-mean(baseline^2),0))",OASTER ERP,precentral-rh+postcentral-rh,264,51.09391530759232,9.094329849635466,35.145207862117,superiorfrontal-lh,left,False
ds006035,左指反应-20到80ms,event 16,41,20.0,80.0,-550.0,-350.0,42.827997908789165,"sqrt(max(mean(active^2)-mean(baseline^2),0))",dSPM,precentral-rh+postcentral-rh,264,17.42535236472321,3.101580710675544,0.0,precentral-rh,right,False
ds006035,左指反应-20到80ms,event 16,41,20.0,80.0,-550.0,-350.0,42.827997908789165,"sqrt(max(mean(active^2)-mean(baseline^2),0))",eLORETA,precentral-rh+postcentral-rh,264,21.362409049428813,3.802346974366136,0.0,postcentral-rh,right,False
